Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Pressure
2022,1,15,4,30,0,0,0,6,0.2,9840
2022,1,15,5,30,0,0,0,6,0.2,9850
2022,1,15,6,30,0,0,0,5,0.2,9860
2022,1,15,7,30,0,0,0,7,0.2,9870
2022,1,15,8,30,155,79,371,10,0.2,9880
2022,1,15,9,30,359,116,628,15,0.1,9880
2022,1,15,10,30,520,149,697,19,0.1,9880
2022,1,15,11,30,654,160,784,21,0.1,9870
2022,1,15,12,30,684,184,742,22,0.1,9860
2022,1,15,13,30,654,196,692,22,0.1,9850
2022,1,15,14,30,590,154,735,22,0.1,9850
2022,1,15,15,30,458,129,693,20,0.1,9840
2022,1,15,16,30,278,131,472,17,0.1,9840
2022,1,15,17,30,53,46,53,14,0.2,9850
2022,1,15,18,30,0,0,0,13,0.2,9850
2022,1,15,19,30,0,0,0,12,0.2,9860
2022,1,15,20,30,0,0,0,11,0.2,9870
2022,1,15,21,30,0,0,0,10,0.3,9870
2022,1,15,22,30,0,0,0,10,0.3,9880
2022,1,15,23,30,0,0,0,9,0.3,9880
2022,1,16,0,30,0,0,0,9,0.3,9880
2022,1,16,1,30,0,0,0,8,0.4,9880
2022,1,16,2,30,0,0,0,8,0.4,9880
2022,1,16,3,30,0,0,0,7,0.3,9880
2022,1,16,4,30,0,0,0,6,0.3,9880
2022,1,16,5,30,0,0,0,6,0.3,9890
2022,1,16,6,30,0,0,0,5,0.3,9890
2022,1,16,7,30,0,0,0,7,0.3,9900
2022,1,16,8,30,160,79,393,10,0.2,9910
2022,1,16,9,30,360,114,635,15,0.2,9920
2022,1,16,10,30,529,137,736,19,0.3,9920
2022,1,16,11,30,644,152,779,21,0.3,9910
2022,1,16,12,30,680,179,741,22,0.3,9900
2022,1,16,13,30,668,172,746,22,0.3,9890
2022,1,16,14,30,604,158,748,22,0.3,9880
2022,1,16,15,30,446,145,631,21,0.3,9880
2022,1,16,16,30,268,136,418,18,0.3,9880
2022,1,16,17,30,57,49,64,15,0.3,9890
2022,1,16,18,30,0,0,0,14,0.3,9890
2022,1,16,19,30,0,0,0,13,0.4,9900
2022,1,16,20,30,0,0,0,12,0.4,9900
2022,1,16,21,30,0,0,0,11,0.4,9900
2022,1,16,22,30,0,0,0,11,0.4,9910
2022,1,16,23,30,0,0,0,10,0.4,9900
2022,1,17,0,30,0,0,0,9,0.4,9900
2022,1,17,1,30,0,0,0,9,0.4,9910
2022,1,17,2,30,0,0,0,8,0.4,9910
2022,1,17,3,30,0,0,0,8,0.3,9900
