TMY3 data for calama
calama, -22.47, -68.93, -4, 0, TMY3, W/m2, C, %, m/s, deg, mm
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,DryBulb,DewPoint,RelativeHumidity,Pressure,WindSpeed,WindDirection
2014,1,9,8,0,381.92,416.58,109.96,16.0,16.0,54.1,850.0,1.3,0.0
2014,1,9,9,0,594.32,639.3000000000001,118.4,18.4,18.4,59.0,850.0,0.0,111.0
2014,1,9,10,0,809.12,862.6,111.94,20.0,20.0,58.3,850.0,4.9,234.0
2014,1,9,11,0,951.48,892.0,113.38,21.3,21.3,55.5,850.0,6.9,241.5
2014,1,9,12,0,1033.4,905.6,114.04,23.0,23.0,55.7,850.0,8.1,247.5
2014,1,9,13,0,1094.0,1118.12,42.36000000000001,24.7,24.7,52.8,850.0,8.4,247.5
2014,1,9,14,0,958.18,897.54,108.98,25.7,25.7,42.8,850.0,8.2,252.0
2014,1,9,15,0,761.82,674.68,133.16,24.9,24.9,33.7,850.0,8.2,253.5
2014,1,9,16,0,552.5400000000001,458.32,148.14,23.7,23.7,30.2,850.0,7.8,253.5
2014,1,9,17,0,342.1,337.14,139.64,22.1,22.1,27.6,850.0,7.3,250.5
2014,1,9,18,0,145.88,116.24,131.32,19.9,19.9,23.7,850.0,6.1,247.5
2014,1,9,19,0,69.3,96.86666666666667,56.260000000000005,18.2,18.2,20.3,850.0,4.9,0.0
2014,1,9,20,0,35.52,77.49333333333334,23.540000000000003,17.1,17.1,17.6,850.0,3.2,258.0
2014,1,9,21,0,11.44,58.120000000000005,0.0,50.0,15.0,16.3,850.0,1.6,249.0
2014,1,9,22,0,0.0,38.74666666666667,0.0,13.7,13.7,17.0,850.0,0.8,243.0
2014,1,9,23,0,0.0,19.37333333333333,0.0,50.0,12.4,19.8,850.0,1.2,0.0
2014,1,10,0,0,0.0,0.0,0.0,11.4,11.4,24.5,850.0,1.8,216.0
2014,1,10,1,0,0.0,0.0,0.0,10.3,10.3,30.3,850.0,2.1,63.0
2014,1,10,2,0,0.0,0.0,0.0,9.4,0.0,33.4,850.0,2.5,54.0
